1024,0.028
2048,0.037
4096,0.039
8192,0.039
16384,0.051
32768,0.052
65536,0.062
131072,0.131
262144,0.232
524288,0.550
1024,0.037
2048,0.036
4096,0.037
8192,0.037
16384,0.039
32768,0.042
65536,0.048
131072,0.061
262144,0.085
524288,0.159
1024,0.136
2048,0.041
4096,0.038
8192,0.034
16384,0.035
32768,0.047
65536,0.044
131072,0.078
262144,0.152
524288,0.308
